Month,Traffic Violation,Traffic Violation Count
01,accident,0
02,accident,0
03,accident,0
04,accident,0
05,accident,0
06,accident,0
07,accident,0
08,accident,0
09,accident,0
10,accident,0
11,accident,0
12,accident,0
01,belts,548
02,belts,709
03,belts,657
04,belts,647
05,belts,646
06,belts,745
07,belts,600
08,belts,567
09,belts,621
10,belts,579
11,belts,527
12,belts,544
01,personal_injury,144
02,personal_injury,121
03,personal_injury,261
04,personal_injury,157
05,personal_injury,227
06,personal_injury,196
07,personal_injury,217
08,personal_injury,168
09,personal_injury,254
10,personal_injury,325
11,personal_injury,183
12,personal_injury,165
01,property_damage,253
02,property_damage,258
03,property_damage,262
04,property_damage,329
05,property_damage,341
06,property_damage,276
07,property_damage,308
08,property_damage,365
09,property_damage,414
10,property_damage,370
11,property_damage,314
12,property_damage,460
01,fatal,4
02,fatal,0
03,fatal,4
04,fatal,2
05,fatal,2
06,fatal,0
07,fatal,0
08,fatal,0
09,fatal,0
10,fatal,0
11,fatal,2
12,fatal,2
01,commercial_license,403
02,commercial_license,491
03,commercial_license,529
04,commercial_license,488
05,commercial_license,461
06,commercial_license,499
07,commercial_license,392
08,commercial_license,538
09,commercial_license,455
10,commercial_license,429
11,commercial_license,369
12,commercial_license,315
01,hazmat,0
02,hazmat,0
03,hazmat,1
04,hazmat,1
05,hazmat,5
06,hazmat,0
07,hazmat,0
08,hazmat,0
09,hazmat,0
10,hazmat,5
11,hazmat,3
12,hazmat,0
01,commercial_vehicle,0
02,commercial_vehicle,0
03,commercial_vehicle,0
04,commercial_vehicle,0
05,commercial_vehicle,0
06,commercial_vehicle,0
07,commercial_vehicle,0
08,commercial_vehicle,0
09,commercial_vehicle,0
10,commercial_vehicle,0
11,commercial_vehicle,0
12,commercial_vehicle,0
01,alcohol,16
02,alcohol,24
03,alcohol,14
04,alcohol,24
05,alcohol,24
06,alcohol,52
07,alcohol,19
08,alcohol,37
09,alcohol,11
10,alcohol,33
11,alcohol,16
12,alcohol,4
01,work_zone,1
02,work_zone,0
03,work_zone,26
04,work_zone,8
05,work_zone,0
06,work_zone,12
07,work_zone,0
08,work_zone,10
09,work_zone,12
10,work_zone,1
11,work_zone,0
12,work_zone,9
